20天学会UI设计(PS+AI)入门教程（完结）【2019千锋】,其他,21:57:48,16000,9,2019/4/12,千锋教育,http://www.bilibili.com/video/av49097092?from=search&seid=15734302584906548247
千锋教育-北京HTML51713期学员-晏同学-薪资10K,h5,5:21,1,0,2018/6/1,哦哦抗旱666,http://www.bilibili.com/video/av24214455?from=search&seid=15734302584906548247
（高级）【千锋Web前端】Taro开发框架视频，不看后悔,h5,3:43:25,10,0,2019/12/3,佐藤Edward,http://www.bilibili.com/video/av77938238?from=search&seid=15734302584906548247
千锋大数据教程：6、scala的7种值类型和条件表达式-1,大数据,8:33,1,0,2018/6/17,aoudenu865,http://www.bilibili.com/video/av25084239?from=search&seid=15734302584906548247
千锋大数据教程：1、创建类、属性-1,大数据,20:41,8,0,2018/6/16,ww我看看66,http://www.bilibili.com/video/av24996092?from=search&seid=15734302584906548247
千锋扣丁学堂HTML5视频教程-属性,h5,5:46,1,0,2019/8/16,扣丁学堂,http://www.bilibili.com/video/av63979727?from=search&seid=15734302584906548247
千锋扣丁学堂HTML5视频教程-React简介,h5,3:17,4,0,2019/8/16,扣丁学堂,http://www.bilibili.com/video/av63979811?from=search&seid=15734302584906548247
千锋教育-北京HTML51713期学员-晏同学-薪资10K,h5,5:21,5,0,2018/5/22,欧洋666,http://www.bilibili.com/video/av23777686?from=search&seid=15734302584906548247
千锋扣丁学堂html5视频教程-path,h5,4:33,1,0,2019/8/27,扣丁学堂,http://www.bilibili.com/video/av65568050?from=search&seid=15734302584906548247
千锋扣丁学堂HTML5视频教程-列表过渡,h5,12:39,3,0,2019/8/15,扣丁学堂,http://www.bilibili.com/video/av63829619?from=search&seid=15734302584906548247
千锋教育-北京HTML51721期学员-贾同学-薪资13K,h5,4:39,2,0,2018/6/22,欧洋666,http://www.bilibili.com/video/av25356097?from=search&seid=15734302584906548247
2019物联网超详细入门教程,其他,4:59:51,9280,10,2019/7/2,千锋教育,http://www.bilibili.com/video/av57517522?from=search&seid=15734302584906548247
2019千锋最新GO语言进阶实战编程(学完基础必看),其他,7:07:52,1530,0,2019/10/10,张奇MAX,http://www.bilibili.com/video/av70801540?from=search&seid=15734302584906548247
（进阶）【千锋Web前端】Taro开发框架视频，不看后悔1,h5,3:43:25,16,0,2019/12/2,佐藤Edward,http://www.bilibili.com/video/av77855981?from=search&seid=15734302584906548247
千锋大数据教程：12、生成任务并提交-1,大数据,6:22,1,0,2018/6/16,ww我看看66,http://www.bilibili.com/video/av25007359?from=search&seid=5823876654924934980
10天自学Python，轻松掌握Python基础【千锋】,python,7:21:00,11000,58,2019/4/22,千锋教育,http://www.bilibili.com/video/av50177955?from=search&seid=5823876654924934980
千锋扣丁学堂HTML5视频教程-练习-创建运行与调试,h5,6:02,2,0,2019/8/16,扣丁学堂,http://www.bilibili.com/video/av63976788?from=search&seid=5823876654924934980
千锋大数据教程：10、映射-1,大数据,9:03,1,0,2018/6/16,ww我看看66,http://www.bilibili.com/video/av24994837?from=search&seid=5823876654924934980
千锋教育-武汉HTML51706期学员-谭家文-薪资8K,h5,5:40,1,0,2018/5/24,丽丽比比666,http://www.bilibili.com/video/av23850940?from=search&seid=5823876654924934980
千锋扣丁学堂HTML5视频教程-表单控件绑定,h5,18:29,4,0,2019/8/15,扣丁学堂,http://www.bilibili.com/video/av63833008?from=search&seid=5823876654924934980
千锋教育锋益助学纪录片——为梦想插上翅膀 （第三集）,其他,4:19,2,0,2019/11/6,IT小学子,http://www.bilibili.com/video/av74733295?from=search&seid=5823876654924934980
千锋教育-北京HTML51721期学员-贾同学-薪资13K,h5,4:39,1,0,2018/6/22,丽丽比比666,http://www.bilibili.com/video/av25365535?from=search&seid=5823876654924934980
千锋教育-西安HTML51705期学员-刘震-薪资8.5K,h5,5:28,6,0,2018/6/7,点击诶春6666,http://www.bilibili.com/video/av24500445?from=search&seid=5823876654924934980
千锋大数据教程：12、生成任务并提交-1,大数据,6:22,1,0,2018/6/20,点击诶春6666,http://www.bilibili.com/video/av25279088?from=search&seid=5823876654924934980
千锋扣丁学堂HTML5视频教程-自定义事件绑定,h5,9:36,3,0,2019/8/20,扣丁学堂,http://www.bilibili.com/video/av64550650?from=search&seid=5823876654924934980
千锋教育-北京HTML5就业1723期学员-姚同学-薪资12K,h5,5:19,6,0,2018/6/22,丽丽比比666,http://www.bilibili.com/video/av25365458?from=search&seid=5823876654924934980
